Col1,Col2,Col3,Col4
"Nolan,Arenado",419,
"Leonys,Martin",419,
"Ian,Desmond",419,
"Ryon,Healy",419,
"Albert,Pujols",419,
"Freddie,Freeman",419,
"Nick,Ahmed",419,
"Teoscar,Hernandez",419,
"Mitch,Garver",419,
"Freddie,Freeman",419,
"Avisail,Garcia",419,
"Justin,Bour",419,
"Jose,Peraza",419,
"J.T.,Realmuto",419,
"Eugenio,Suarez",419,
"Jurickson,Profar",419,
"Yasiel,Puig",419,
"Mark,Canha",419,
"Mike,Trout",419,
"Ryan,Braun",419,
"Edwin,Encarnacion",419,
"Danny,Valencia",419,
"Joe,Mauer",419,
"Yadier,Molina",419,
"Victor,Caratini",419,
"Chris,Owings",419,
"Gregory,Polanco",419,
"Jeimer,Candelario",419,
"Brandon,Nimmo",419,
"Pablo,Sandoval",419,
"Todd,Frazier",419,
"Matt,Davidson",419,
"Jedd,Gyorko",419,
"Robinson,Cano",419,
"Paul,Goldschmidt",419,
"Mike,Moustakas",419,
"Eugenio,Suarez",419,
"Yoenis,Cespedes",419,
"Ronald,Guzman",419,
"Manny,Machado",419,
"Jose,Briceno",419,
"Aaron,Judge",419,
"Dilson,Herrera",419,
"Mike,Trout",419,
"J.D.,Martinez",419,
"Matt,Adams",419,
"Ji-Man,Choi",419,
"Albert,Pujols",419,
"Wilson,Ramos",419,
"Shin-Soo,Choo",419,
"Harrison,Bader",419,
"Tim,Beckham",419,
"Ji-Man,Choi",419,
"Mike,Trout",419,
"Matt,Chapman",419,
"Stephen,Piscotty",419,
"Jackie,Bradley,Jr.",419
"Freddy,Galvis",419,
"Austin,Jackson",419,
"Wil,Myers",419,
"Todd,Frazier",419,
"Yasiel,Puig",419,
"Rhys,Hoskins",419,
"George,Springer",419,
"Raffy,Lopez",418,
"Charlie,Blackmon",418,
"Starling,Marte",418,
"Jorge,Alfaro",418,
"Gregory,Polanco",418,
"A.J.,Pollock",418,
"Aledmys,Diaz",418,
"Jose,Bautista",418,
"Chris,Davis",418,
"Ryder,Jones",418,
"Bryce,Harper",418,
"Nelson,Cruz",418,
"Alex,Avila",418,
"Adam,Duvall",418,
"Javier,Baez",418,
"Mason,Williams",418,
"Odubel,Herrera",418,
"Brandon,Crawford",418,
"Eric,Hosmer",418,
"Justin,Bour",418,
"Alex,Gordon",418,
"Avisail,Garcia",418,
"Christian,Villanueva",418,
"Rafael,Devers",418,
"Mike,Trout",418,
"Carlos,Gonzalez",418,
"Michael,Brantley",418,
"Eddie,Rosario",418,
"Danny,Valencia",418,
"Anthony,Rizzo",418,
"Luke,Maile",418,
"Trey,Mancini",418,
"Yonder,Alonso",418,
"Anthony,Rendon",418,
"Tyler,Naquin",418,
"Austin,Romine",418,
"Matt,Olson",418,
"Starlin,Castro",418,
"Mitch,Haniger",418,
"Mike,Trout",418,
"Scott,Schebler",418,
"Kendrys,Morales",418,
"Leury,Garcia",418,
"Ian,Happ",418,
"Tony,Wolters",418,
"Hunter,Renfroe",418,
"James,McCann",418,
"Rougned,Odor",418,
"Dustin,Fowler",418,
"Jose,Martinez",418,
"Jose,Martinez",418,
"Daniel,Palka",418,
"David,Dahl",418,
"Jonathan,Villar",418,
"Gleyber,Torres",418,
"Jose,Abreu",418,
"Zach,Eflin",418,
"Alex,Bregman",418,
"Yoenis,Cespedes",418,
"Randal,Grichuk",418,
"Logan,Morrison",418,
"Starling,Marte",418,
"Clayton,Richard",418,
"Francisco,Lindor",418,
"Jurickson,Profar",418,
"Shohei,Ohtani",418,
"Jake,Cave",418,
"Adam,Jones",418,
"Randal,Grichuk",418,
"Yonder,Alonso",418,
"Matt,Skole",418,
"Mark,Reynolds",418,
"Lorenzo,Cain",418,
"Christian,Yelich",418,
"Rougned,Odor",418,
"Max,Muncy",418,
"Brian,Anderson",418,
"Nolan,Arenado",418,
"Ramon,Laureano",418,
"Adam,Moore",418,
"Mookie,Betts",417,
"Corey,Dickerson",417,
"Daniel,Robertson",417,
"Kyle,Seager",417,
"Adam,Jones",417,
"Lucas,Duda",417,
"Pedro,Florimon",417,
"Stephen,Piscotty",417,
"Carlos,Gonzalez",417,
"Andrew,Benintendi",417,
"Marcell,Ozuna",417,
"Brad,Miller",417,
"Trevor,Story",417,
"Logan,Morrison",417,
"Francisco,Pena",417,
"Tyler,White",417,
"Bruce,Maxwell",417,
"Paul,Goldschmidt",417,
"Matt,Carpenter",417,
"Tyler,Austin",417,
"Joey,Votto",417,
"Freddy,Galvis",417,
"Lourdes,Gurriel,Jr.",417
"Matt,Kemp",417,
"Andrew,Benintendi",417,
"Brandon,Dixon",417,
"Manny,Machado",417,
"David,Dahl",417,
"Alex,Gordon",417,
"Jose,Altuve",417,
"Aaron,Hicks",417,
"Jason,Kipnis",417,
"Kyle,Seager",417,
"Jake,Cave",417,
"Bradley,Zimmer",417,
"Christian,Yelich",417,
"Nick,Williams",417,
"Kole,Calhoun",417,
"Christian,Villanueva",417,
"Jose,Altuve",417,
"Matt,Carpenter",417,
"Dominic,Smith",417,
"Christian,Villanueva",417,
"Paul,DeJong",417,
"Jonathan,Schoop",417,
"Lucas,Duda",417,
"Chris,Owings",417,
"Jesse,Winker",417,
"Max,Kepler",417,
"Edwin,Encarnacion",417,
"Christian,Villanueva",417,
"Willie,Calhoun",417,
"Alex,Bregman",417,
"Yasiel,Puig",417,
"David,Peralta",417,
"Jake,Cave",417,
"Javier,Baez",417,
"Jefry,Marte",417,
"Francisco,Lindor",417,
"Carlos,Santana",417,
"Trevor,Story",417,
"Mark,Reynolds",417,
"David,Bote",417,
"Manny,Machado",417,
"Erik,Kratz",417,
"Luke,Voit",417,
"Giancarlo,Stanton",416,
"Charlie,Blackmon",416,
"Carlos,Correa",416,
"Matt,Adams",416,
"Travis,Shaw",416,
"Derek,Dietrich",416,
"Ronald,Acuna,Jr.",416
"Eric,Thames",416,
"Matt,Joyce",416,
"Ramon,Laureano",416,
"Marcell,Ozuna",416,
"Tommy,Pham",416,
"Nomar,Mazara",416,
"Manny,Pina",416,
"Eric,Hosmer",416,
"Anthony,Rendon",416,
"Yonder,Alonso",416,
"Jake,Lamb",416,
"Bryce,Harper",416,
"Shohei,Ohtani",416,
"Max,Muncy",416,
"Jose,Ramirez",416,
"Ryon,Healy",416,
"Manny,Pina",416,
"Randal,Grichuk",416,
"Xander,Bogaerts",416,
"Jesus,Aguilar",416,
"Ryon,Healy",416,
"Neil,Walker",416,
"Francisco,Lindor",416,
"Didi,Gregorius",416,
"Daniel,Murphy",416,
"Jedd,Gyorko",416,
"Kevin,Kiermaier",416,
"Tim,Beckham",416,
"Rougned,Odor",416,
"Marcell,Ozuna",416,
"Rhys,Hoskins",416,
"Devin,Mesoraco",416,
"Marcell,Ozuna",416,
"Joey,Gallo",416,
"Marcell,Ozuna",416,
"Matt,Kemp",416,
"DJ,LeMahieu",416,
"Pedro,Alvarez",416,
"Rene,Rivera",416,
"Jason,Castro",416,
"Victor,Martinez",416,
"Daniel,Palka",416,
"Willy,Adames",416,
"Chris,Taylor",416,
"Teoscar,Hernandez",416,
"Bryce,Harper",416,
"Manuel,Margot",416,
"Colin,Moran",416,
"Daniel,Palka",416,
"Yangervis,Solarte",416,
"Khris,Davis",416,
"Gregory,Polanco",416,
"Mark,Trumbo",416,
"Joey,Gallo",416,
"Trevor,Story",416,
"Jeimer,Candelario",416,
"Rhys,Hoskins",416,
"Jose,Abreu",416,
"Jose,Martinez",416,
"Charlie,Blackmon",416,
"Lucas,Duda",416,
"Harrison,Bader",416,
"Mike,Moustakas",416,
"Paul,DeJong",416,
"Brian,Goodwin",416,
"Randal,Grichuk",416,
"Matt,Joyce",415,
"Ronald,Acuna,Jr.",415
"Khris,Davis",415,
"Jace,Peterson",415,
"Joey,Gallo",415,
"Ronald,Guzman",415,
"Matt,Olson",415,
"David,Dahl",415,
"J.D.,Martinez",415,
"Tyler,White",415,
"Mark,Reynolds",415,
"Denard,Span",415,
"Yasmani,Grandal",415,
"Travis,Shaw",415,
"Christian,Yelich",415,
"Eric,Thames",415,
"Pablo,Sandoval",415,
"Juan,Soto",415,
"Mitch,Haniger",415,
"Alex,Gordon",415,
"Gleyber,Torres",415,
"Marwin,Gonzalez",415,
"Rafael,Devers",415,
"Travis,Jankowski",415,
"Jose,Abreu",415,
"Tim,Beckham",415,
"Mike,Trout",415,
"Cody,Bellinger",415,
"Enrique,Hernandez",415,
"Gorkys,Hernandez",415,
"Rene,Rivera",415,
"Chris,Taylor",415,
"Max,Muncy",415,
"Nolan,Arenado",415,
"Juan,Soto",415,
"Enrique,Hernandez",415,
"Evan,Gattis",415,
"Neil,Walker",415,
"Devin,Mesoraco",415,
"Trevor,Story",415,
"Yangervis,Solarte",415,
"Anthony,Rizzo",415,
"Mike,Moustakas",415,
"Elias,Diaz",415,
"Robinson,Chirinos",415,
"Mitch,Moreland",415,
"Devon,Travis",415,
"Kendrys,Morales",415,
"Evan,Gattis",415,
"Carlos,Correa",415,
"Evan,Longoria",415,
"Jose,Pirela",415,
"Jorge,Alfaro",415,
"Nick,Markakis",415,
"Matt,Adams",415,
"Enrique,Hernandez",415,
"Leonys,Martin",415,
"Marcell,Ozuna",415,
"Jeimer,Candelario",415,
"Alex,Avila",415,
"Max,Muncy",415,
"Kurt,Suzuki",415,
"Gorkys,Hernandez",415,
"Didi,Gregorius",415,
"Danny,Valencia",415,
"David,Peralta",415,
"Jonathan,Villar",415,
"Lourdes,Gurriel,Jr.",415
"Gabriel,Guerrero",415,
"Leonys,Martin",415,
"Asdrubal,Cabrera",415,
"John,Hicks",415,
"Nelson,Cruz",415,
"Brian,Anderson",415,
"Nelson,Cruz",415,
"Gregory,Polanco",415,
"Justin,Bour",415,
"Lewis,Brinson",414,
"Ryan,Braun",414,
"Scott,Schebler",414,
"Patrick,Wisdom",414,
"Mike,Trout",414,
"J.D.,Martinez",414,
"Eugenio,Suarez",414,
"Alex,Bregman",414,
"Evan,Longoria",414,
"Josh,Reddick",414,
"Jesus,Aguilar",414,
"Denard,Span",414,
"J.T.,Realmuto",414,
"Spencer,Kieboom",414,
"Yonder,Alonso",414,
"Adalberto,Mondesi",414,
"Mike,Trout",414,
"Yasmani,Grandal",414,
"A.J.,Pollock",414,
"Brian,Goodwin",414,
"Avisail,Garcia",414,
"Tommy,Pham",414,
"Jonathan,Schoop",414,
"Mike,Trout",414,
"Justin,Smoak",414,
"Christian,Yelich",414,
"Justin,Bour",414,
"Colby,Rasmus",414,
"Eric,Thames",414,
"Javier,Baez",414,
"Shohei,Ohtani",414,
"Christian,Yelich",414,
"Trevor,Story",414,
"Marcell,Ozuna",414,
"Lorenzo,Cain",414,
"Jonathan,Schoop",414,
"Charlie,Blackmon",414,
"Max,Muncy",414,
"Wilson,Ramos",414,
"Matt,Olson",414,
"Aledmys,Diaz",414,
"Tommy,Pham",414,
"Jesse,Winker",414,
"Tommy,Pham",414,
"Trey,Mancini",414,
"Matt,Davidson",414,
"Tim,Anderson",414,
"Mitch,Garver",414,
"Jesus,Aguilar",414,
"Dansby,Swanson",414,
"Ozzie,Albies",414,
"Manny,Machado",414,
"Randal,Grichuk",414,
"Starling,Marte",414,
"Max,Stassi",414,
"Ozzie,Albies",414,
"Matt,Davidson",414,
"Rafael,Devers",414,
"Max,Muncy",414,
"Matt,Kemp",414,
"Alex,Bregman",414,
"Jackie,Bradley,Jr.",414
"James,McCann",414,
"Austin,Romine",414,
"Yan,Gomes",414,
"Tim,Beckham",414,
"C.J.,Cron",414,
"Dilson,Herrera",414,
"Christian,Yelich",414,
"Michael,Conforto",414,
"Cesar,Hernandez",414,
"DJ,LeMahieu",414,
"Nolan,Arenado",414,
"Anthony,Rendon",414,
"Nick,Markakis",414,
"Gleyber,Torres",414,
"David,Peralta",414,
"Francisco,Lindor",414,
"Justin,Bour",414,
"Miguel,Andujar",414,
"Khris,Davis",414,
"Javier,Baez",414,
"Ronald,Acuna,Jr.",414
"Chad,Pinder",414,
"Justin,Turner",414,
"Justin,Turner",414,
"Adrian,Beltre",414,
"Joc,Pederson",414,
"Manny,Machado",413,
"Joey,Gallo",413,
"Ian,Happ",413,
"Mark,Canha",413,
"Justin,Upton",413,
"Trea,Turner",413,
"Alex,Gordon",413,
"Jose,Reyes",413,
"Khris,Davis",413,
"Jose,Ramirez",413,
"Kole,Calhoun",413,
"Phillip,Ervin",413,
"Lorenzo,Cain",413,
"Mookie,Betts",413,
"Trevor,Story",413,
"Xander,Bogaerts",413,
"Max,Kepler",413,
"C.J.,Cron",413,
"Mark,Reynolds",413,
"Ryan,McMahon",413,
"Eric,Hosmer",413,
"Adam,Frazier",413,
"Eduardo,Escobar",413,
"Maikel,Franco",413,
"Mookie,Betts",413,
"Robinson,Cano",413,
"Marcus,Semien",413,
"Josh,Donaldson",413,
"Travis,Shaw",413,
"Max,Muncy",413,
"Jose,Abreu",413,
"Christian,Yelich",413,
"Yoan,Moncada",413,
"Johan,Camargo",413,
"Randal,Grichuk",413,
"Bryce,Harper",413,
"Jesus,Aguilar",413,
"Nelson,Cruz",413,
"Matt,Chapman",413,
"Adam,Duvall",413,
"Johnny,Field",413,
"Jesus,Aguilar",413,
"Rhys,Hoskins",413,
"Charlie,Culberson",413,
"Adalberto,Mondesi",413,
"Eric,Hosmer",413,
"Francisco,Lindor",413,
"Giancarlo,Stanton",413,
"Max,Muncy",413,
"Francisco,Lindor",413,
"Adrian,Beltre",413,
"Nelson,Cruz",413,
"Hunter,Dozier",413,
"Chris,Taylor",413,
"Justin,Bour",413,
"Matt,Olson",413,
"Manny,Pina",413,
"Adrian,Beltre",413,
"Shohei,Ohtani",413,
"Alen,Hanson",413,
"Willy,Adames",413,
"Aledmys,Diaz",413,
"Neil,Walker",413,
"Jake,Marisnick",413,
"Jon,Jay",413,
"Josh,Reddick",413,
"Aledmys,Diaz",413,
"Aaron,Hicks",413,
"C.J.,Cron",413,
"Curtis,Granderson",413,
"Nelson,Cruz",412,
"Lewis,Brinson",412,
"Adrian,Gonzalez",412,
"Shohei,Ohtani",412,
"Adam,Duvall",412,
"Cody,Bellinger",412,
"Todd,Frazier",412,
"Jesus,Aguilar",412,
"Jefry,Marte",412,
"Albert,Pujols",412,
"Khris,Davis",412,
"Daniel,Palka",412,
"Tommy,Pham",412,
"Chad,Pinder",412,
"Hanley,Ramirez",412,
"Nolan,Arenado",412,
"Tyler,Flowers",412,
"Gregory,Polanco",412,
"Jose,Abreu",412,
"Kyle,Schwarber",412,
"Cesar,Hernandez",412,
"Justin,Smoak",412,
"Todd,Frazier",412,
"Nelson,Cruz",412,
"Gary,Sanchez",412,
"Brandon,Crawford",412,
"Enrique,Hernandez",412,
"Eugenio,Suarez",412,
"Matt,Joyce",412,
"Francisco,Lindor",412,
"Justin,Smoak",412,
"Jay,Bruce",412,
"Nelson,Cruz",412,
"Chad,Pinder",412,
"Erik,Gonzalez",412,
"J.T.,Realmuto",412,
"Charlie,Blackmon",412,
"Brian,Anderson",412,
"Joc,Pederson",412,
"Asdrubal,Cabrera",412,
"Nomar,Mazara",412,
"Amed,Rosario",412,
"Joey,Gallo",412,
"Tyler,Flowers",412,
"Mitch,Moreland",412,
"Mark,Trumbo",412,
"Stephen,Piscotty",412,
"Jackie,Bradley,Jr.",412
"Edwin,Encarnacion",412,
"David,Dahl",412,
"Ozzie,Albies",412,
"Lucas,Duda",412,
"Ian,Kinsler",412,
"Giancarlo,Stanton",412,
"Eduardo,Escobar",412,
"Robinson,Cano",412,
"Adrian,Gonzalez",412,
"Ryan,O'Hearn",412,
"Mallex,Smith",412,
"Ryan,McMahon",412,
"Yasmani,Grandal",412,
"Mike,Trout",412,
"Carlos,Gomez",412,
"Kole,Calhoun",412,
"Jean,Segura",412,
"Cedric,Mullins",412,
"Adalberto,Mondesi",412,
"Salvador,Perez",412,
"Jesus,Aguilar",412,
"Jose,Pirela",412,
"Mark,Reynolds",412,
"Jean,Segura",412,
"Aaron,Altherr",412,
"J.D.,Martinez",412,
"DJ,LeMahieu",412,
"Justin,Turner",412,
"Eric,Thames",411,
"Austin,Hedges",411,
"Ryon,Healy",411,
"Kendrys,Morales",411,
"Cody,Bellinger",411,
"Odubel,Herrera",411,
"Jorge,Soler",411,
"Max,Muncy",411,
"Josh,Bell",411,
"Maikel,Franco",411,
"Bryce,Harper",411,
"Daniel,Murphy",411,
"Daniel,Palka",411,
"Tyler,O'Neill",411,
"Matt,Davidson",411,
"Nelson,Cruz",411,
"Yonder,Alonso",411,
"Nicholas,Castellanos",411,
"Renato,Nunez",411,
"Aaron,Hicks",411,
"Raffy,Lopez",411,
"Billy,McKinney",411,
"Jesus,Aguilar",411,
"Ian,Kinsler",411,
"Max,Stassi",411,
"Nolan,Arenado",411,
"Ian,Desmond",411,
"Kole,Calhoun",411,
"Yasmani,Grandal",411,
"Jake,Bauers",411,
"Mookie,Betts",411,
"George,Springer",411,
"Justin,Bour",411,
"Scott,Schebler",411,
"Jurickson,Profar",411,
"Charlie,Blackmon",411,
"Eddie,Rosario",411,
"Manny,Machado",411,
"Khris,Davis",411,
"Francisco,Cervelli",411,
"Shohei,Ohtani",411,
"Alex,Bregman",411,
"Didi,Gregorius",411,
"Freddy,Galvis",411,
"Chance,Sisco",411,
"Ji-Man,Choi",411,
"Elvis,Andrus",411,
"Jose,Ramirez",411,
"C.J.,Cron",411,
"Alex,Bregman",411,
"Eric,Thames",411,
"Rhys,Hoskins",411,
"Freddie,Freeman",411,
"Matt,Adams",411,
"Tyler,Naquin",411,
"Yairo,Munoz",411,
"Xander,Bogaerts",411,
"Marcell,Ozuna",411,
"Javier,Baez",411,
"Mark,Trumbo",411,
"Justin,Upton",411,
"J.T.,Realmuto",411,
"Luis,Valbuena",411,
"Justin,Smoak",411,
"Keon,Broxton",411,
"Johan,Camargo",411,
"Odubel,Herrera",411,
"Ryan,Zimmerman",411,
"Scooter,Gennett",411,
"Stephen,Piscotty",411,
"Tim,Beckham",411,
"Ronald,Acuna,Jr.",411
"Paul,DeJong",411,
"Rowdy,Tellez",411,
"Javier,Baez",411,
"Carlos,Gomez",411,
"Yonder,Alonso",411,
"Mitch,Garver",411,
"Starlin,Castro",411,
"Luke,Voit",411,
"Cody,Bellinger",411,
"Shohei,Ohtani",411,
"Eugenio,Suarez",411,
"Maikel,Franco",411,
"Ronald,Acuna,Jr.",411
"Shin-Soo,Choo",411,
"John,Gant",411,
"Josh,Bell",411,
"Eduardo,Nunez",411,
"Tyler,O'Neill",411,
"Khris,Davis",410,
"Freddie,Freeman",410,
"Manny,Machado",410,
"Neil,Walker",410,
"Shohei,Ohtani",410,
"Ketel,Marte",410,
"Jose,Martinez",410,
"Johan,Camargo",410,
"Nelson,Cruz",410,
"Matt,Chapman",410,
"Anthony,Rizzo",410,
"Christian,Yelich",410,
"Willie,Calhoun",410,
"Mookie,Betts",410,
"Christian,Villanueva",410,
"Ryan,McMahon",410,
"Jean,Segura",410,
"Cody,Bellinger",410,
"Yairo,Munoz",410,
"Giancarlo,Stanton",410,
"Cory,Spangenberg",410,
"Khris,Davis",410,
"Jose,Altuve",410,
"Nelson,Cruz",410,
"Nick,Williams",410,
"Yonder,Alonso",410,
"Jason,Heyward",410,
"Brian,Anderson",410,
"Brandon,Belt",410,
"DJ,LeMahieu",410,
"Jose,Abreu",410,
"Tom,Murphy",410,
"Mike,Moustakas",410,
"Matt,Kemp",410,
"Carlos,Santana",410,
"Michael,A.,Taylor",410
"Alex,Bregman",410,
"Brandon,Nimmo",410,
"Manny,Pina",410,
"Austin,Dean",410,
"Eugenio,Suarez",410,
"Avisail,Garcia",410,
"Javier,Baez",410,
"Jake,Lamb",410,
"Manny,Machado",410,
"Carlos,Correa",410,
"Tim,Beckham",410,
"Carlos,Correa",410,
"Jed,Lowrie",410,
"Matt,Kemp",410,
"Eric,Thames",410,
"Ronald,Acuna,Jr.",410
"Mark,Canha",410,
"George,Springer",410,
"Lucas,Duda",410,
"Christian,Yelich",410,
"Matt,Duffy",410,
"Matt,Carpenter",410,
"Shohei,Ohtani",410,
"Joey,Rickard",410,
"Phillip,Ervin",410,
"Brian,McCann",410,
"J.D.,Martinez",410,
"Kurt,Suzuki",410,
"Salvador,Perez",410,
"Manny,Pina",410,
"Jason,Kipnis",410,
"Yasiel,Puig",410,
"Nicky,Delmonico",410,
"Chris,Herrmann",410,
"Cesar,Hernandez",410,
"J.T.,Realmuto",410,
"Charlie,Culberson",410,
"Miguel,Andujar",410,
"Chase,d'Arnaud",410,
"Adalberto,Mondesi",410,
"Amed,Rosario",410,
"Johan,Camargo",410,
"Tyler,Wade",410,
"Maikel,Franco",410,
"Edwin,Encarnacion",410,
"Cody,Bellinger",409,
"Aledmys,Diaz",409,
"Shin-Soo,Choo",409,
"Nick,Williams",409,
"JT,Riddle",409,
"Ian,Happ",409,
"Mookie,Betts",409,
"Aaron,Judge",409,
"Welington,Castillo",409,
"J.T.,Realmuto",409,
"Mitch,Garver",409,
"Cody,Bellinger",409,
"Tommy,Pham",409,
"Niko,Goodrum",409,
"Carlos,Santana",409,
"Kris,Bryant",409,
"Christian,Yelich",409,
"Kolten,Wong",409,
"Brian,Dozier",409,
"Eduardo,Escobar",409,
"J.T.,Realmuto",409,
"Justin,Turner",409,
"Trevor,Story",409,
"Brandon,Nimmo",409,
"Manny,Machado",409,
"Todd,Frazier",409,
"Tyler,Austin",409,
"Francisco,Lindor",409,
"Chris,Young",409,
"Paul,Goldschmidt",409,
"Logan,Morrison",409,
"Xander,Bogaerts",409,
"Salvador,Perez",409,
"C.J.,Cron",409,
"Manny,Machado",409,
"Matt,Olson",409,
"DJ,LeMahieu",409,
"Andrew,McCutchen",409,
"Addison,Russell",409,
"Yoan,Moncada",409,
"Alen,Hanson",409,
"Yasmani,Grandal",409,
"Justin,Upton",409,
"Eric,Hosmer",409,
"Devin,Mesoraco",409,
"Corey,Dickerson",409,
"Trevor,Story",409,
"Colin,Moran",409,
"Hunter,Renfroe",409,
"Teoscar,Hernandez",409,
"Austin,Dean",409,
"Xander,Bogaerts",409,
"Anthony,Rendon",409,
"Billy,McKinney",409,
"Jesus,Aguilar",409,
"Rougned,Odor",409,
"Austin,Jackson",409,
"Eugenio,Suarez",409,
"Max,Kepler",409,
"Yan,Gomes",409,
"Nolan,Arenado",409,
"Yadier,Molina",409,
"Stephen,Piscotty",409,
"Chad,Pinder",409,
"Teoscar,Hernandez",409,
"Matt,Kemp",408,
"Aaron,Hicks",408,
"Khris,Davis",408,
"Tyler,Saladino",408,
"Teoscar,Hernandez",408,
"Ian,Happ",408,
"Jose,Abreu",408,
"Tyler,White",408,
"Charlie,Blackmon",408,
"Marcus,Semien",408,
"Jake,Marisnick",408,
"Elias,Diaz",408,
"Edwin,Encarnacion",408,
"Eugenio,Suarez",408,
"Yasmani,Grandal",408,
"Cody,Bellinger",408,
"Khris,Davis",408,
"Amed,Rosario",408,
"Kevin,Kiermaier",408,
"Albert,Pujols",408,
"Ryan,Schimpf",408,
"Hernan,Perez",408,
"Lucas,Duda",408,
"Eugenio,Suarez",408,
"Jonathan,Lucroy",408,
"Chad,Pinder",408,
"Gleyber,Torres",408,
"Yasmani,Grandal",408,
"Aaron,Hicks",408,
"Logan,Morrison",408,
"Gregory,Polanco",408,
"Ryon,Healy",408,
"Yoenis,Cespedes",408,
"Brandon,Belt",408,
"Jay,Bruce",408,
"Gregory,Polanco",408,
"Brian,Goodwin",408,
"Mike,Trout",408,
"Kendrys,Morales",408,
"Nicholas,Castellanos",408,
"Trea,Turner",408,
"Renato,Nunez",408,
"Mitch,Haniger",408,
"Marwin,Gonzalez",408,
"Adam,Eaton",408,
"Rafael,Devers",408,
"Javier,Baez",408,
"Cedric,Mullins",408,
"Taylor,Ward",408,
"Johnny,Field",408,
"Anthony,Rendon",408,
"Matt,Chapman",408,
"Aramis,Garcia",408,
"Dansby,Swanson",408,
"Avisail,Garcia",408,
"Jose,Martinez",408,
"Manuel,Margot",408,
"Niko,Goodrum",408,
"Stephen,Piscotty",408,
"Justin,Smoak",408,
"Andrew,Knapp",408,
"Elvis,Andrus",408,
"Xander,Bogaerts",408,
"Mike,Trout",408,
"Jose,Abreu",408,
"Juan,Soto",408,
"Isaac,Galloway",408,
"Max,Stassi",408,
"Nick,Ahmed",408,
"Jose,Martinez",408,
"Teoscar,Hernandez",408,
"Eugenio,Suarez",407,
"Aaron,Judge",407,
"Kyle,Schwarber",407,
"Sean,Rodriguez",407,
"Miguel,Sano",407,
"Kevin,Pillar",407,
"Anthony,Rendon",407,
"Khris,Davis",407,
"Ryan,Zimmerman",407,
"Jake,Bauers",407,
"Michael,Brantley",407,
"Gorkys,Hernandez",407,
"Max,Muncy",407,
"Jesus,Aguilar",407,
"Kyle,Schwarber",407,
"Matt,Carpenter",407,
"Starling,Marte",407,
"Travis,Shaw",407,
"Ryan,Braun",407,
"Jake,Bauers",407,
"Yonder,Alonso",407,
"Mookie,Betts",407,
"Maikel,Franco",407,
"Trevor,Story",407,
"Ozzie,Albies",407,
"Albert,Pujols",407,
"Brian,Dozier",407,
"Kyle,Seager",407,
"Roberto,Perez",407,
"Mark,Canha",407,
"Matt,Olson",407,
"Travis,Shaw",407,
"Shin-Soo,Choo",407,
"Jason,Kipnis",407,
"Howie,Kendrick",407,
"Gleyber,Torres",407,
"Tyler,O'Neill",407,
"Jonathan,Schoop",407,
"Eugenio,Suarez",407,
"Rhys,Hoskins",407,
"Danny,Valencia",407,
"Mitch,Moreland",407,
"Mike,Moustakas",407,
"John,Ryan,Murphy",407
"Rhys,Hoskins",407,
"Manny,Machado",407,
"Miles,Mikolas",407,
"Jordy,Mercer",407,
"Carlos,Martinez",407,
"Jake,Marisnick",407,
"Adam,Duvall",407,
"Nick,Markakis",407,
"Alex,Avila",407,
"Javier,Baez",407,
"Kris,Bryant",407,
"Jose,Peraza",407,
"George,Springer",407,
"Kendrys,Morales",407,
"Ozzie,Albies",407,
"Omar,Narvaez",407,
"Melky,Cabrera",407,
"Chad,Wallach",407,
"Ronald,Acuna,Jr.",407
"Jose,Osuna",407,
"Jurickson,Profar",407,
"Trea,Turner",407,
"Adam,Engel",407,
"Ryan,O'Hearn",407,
"Starlin,Castro",407,
"Jed,Lowrie",407,
"Austin,Wynns",407,
"Mitch,Moreland",407,
"Khris,Davis",407,
"Miguel,Rojas",407,
"Jordan,Luplow",407,
"Trey,Mancini",407,
"Daniel,Palka",407,
"Luke,Voit",407,
"Freddie,Freeman",407,
"Ketel,Marte",407,
"Niko,Goodrum",407,
"Corey,Dickerson",407,
"Miguel,Sano",407,
"Drew,Robinson",407,
"Tyler,Austin",406,
"Trea,Turner",406,
"Kyle,Schwarber",406,
"Eric,Hosmer",406,
"Mitch,Haniger",406,
"Kevan,Smith",406,
"Stephen,Piscotty",406,
"J.T.,Realmuto",406,
"Francisco,Lindor",406,
"Whit,Merrifield",406,
"Sean,Rodriguez",406,
"Aaron,Hicks",406,
"Joey,Wendle",406,
"Nicholas,Castellanos",406,
"Andrew,Benintendi",406,
"Jefry,Marte",406,
"Matt,Olson",406,
"Matt,Kemp",406,
"Nomar,Mazara",406,
"Peter,O'Brien",406,
"Asdrubal,Cabrera",406,
"Jason,Heyward",406,
"Max,Muncy",406,
"Russell,Martin",406,
"Bryce,Harper",406,
"Rhys,Hoskins",406,
"Mookie,Betts",406,
"Starlin,Castro",406,
"Trey,Mancini",406,
"Alex,Gordon",406,
"Nomar,Mazara",406,
"Devin,Mesoraco",406,
"Evan,Gattis",406,
"Brandon,Crawford",406,
"Jose,Martinez",406,
"Ian,Desmond",406,
"Cody,Bellinger",406,
"Cody,Bellinger",406,
"Jeimer,Candelario",406,
"Ryan,O'Hearn",406,
"Mookie,Betts",406,
"Chris,Young",406,
"Lewis,Brinson",406,
"Nolan,Arenado",406,
